Categoría,Juego,Peso
Estrategia de Guerra y Militar,Card Game: The Card Game,0.9
Estrategia de Guerra y Militar,Photosynthesis,2.4
Estrategia de Guerra y Militar,Kingdomino,0.7
Estrategia de Guerra y Militar,5-Minute Marvel,0.7
Estrategia de Guerra y Militar,Baruka,0.7
Estrategia de Guerra y Militar,Forbidden Jungle,2.0999999999999996
Estrategia de Guerra y Militar,Forbidden Desert,2.8
Estrategia de Guerra y Militar,Bears vs Babies,1.6
Estrategia de Guerra y Militar,Flamme Rouge,0.7
Estrategia de Guerra y Militar,Turista Mundial,0.9
Estrategia de Guerra y Militar,My Little Scythe,3.0999999999999996
Estrategia de Guerra y Militar,Hanamikoji,1
Estrategia de Guerra y Militar,Ca$h 'n Guns: Second Edition,1.6
Estrategia de Guerra y Militar,Stoned: A Stone Snatching Game,0.9
Estrategia de Guerra y Militar,Kill The Unicorns,0.7
Estrategia de Guerra y Militar,Zombicide: Black Plague,2.0999999999999996
Estrategia de Guerra y Militar,Flash Point: Fire Rescue,2.0999999999999996
Estrategia de Guerra y Militar,Dead Men Tell No Tales,2.8
Estrategia de Guerra y Militar,How to Rob a Bank,1.5
Estrategia de Guerra y Militar,Kanban: Driver's Edition,0.7
Estrategia de Guerra y Militar,Stone Age,0.7
Estrategia de Guerra y Militar,La Rata Ricarda,0.7
Estrategia de Guerra y Militar,Silk,1
Estrategia de Guerra y Militar,"Hey, That's My Fish!",0.7
Estrategia de Guerra y Militar,Oceania,1
Estrategia de Guerra y Militar,Battlestar Galactica: Starship Battles – Starter Set,2.4000000000000004
Estrategia de Guerra y Militar,Dungeon Raiders,1.6
Estrategia de Guerra y Militar,Tiny Epic Galaxies BLAST OFF!,0.8
Estrategia de Guerra y Militar,Monsters Party: Voodoo Madness,0.9
Estrategia de Guerra y Militar,Merchants of Dunhuang,1.4
Estrategia de Guerra y Militar,Bitcoin Hackers,0.7
Estrategia de Guerra y Militar,Hero Realms,0.9
Estrategia de Guerra y Militar,Potato Pirates,1.7000000000000002
Estrategia de Guerra y Militar,Trending Kittens,1.7
Estrategia de Guerra y Militar,Dragon Farkle,0.7
Estrategia de Guerra y Militar,The Red Dragon Inn,1.6
Estrategia de Guerra y Militar,Legend of the Five Rings: The Card Game,2.3
Estrategia de Guerra y Militar,DogFight WW1,0.9
Estrategia de Guerra y Militar,Santorini,0.7
Estrategia de Guerra y Militar,Wingspan,1.5
Estrategia de Guerra y Militar,Planet,0.7
Estrategia de Guerra y Militar,Tokaido,0.7
Estrategia de Guerra y Militar,Struggle of Empires,1.9
Estrategia de Guerra y Militar,Holi: Festival of Colors,1
Estrategia de Guerra y Militar,Ishtar: Gardens of Babylon,1.7
Estrategia de Guerra y Militar,Terraforming Mars,2.0999999999999996
Estrategia de Guerra y Militar,Dune: Imperium,1.4
Estrategia de Guerra y Militar,Epic Roll: Eclipse,0.7
Estrategia de Guerra y Militar,Patchwork,1.4
Estrategia de Guerra y Militar,ICECOOL,0.9
Estrategia de Guerra y Militar,Century: Eastern Wonders,1.4
Estrategia de Guerra y Militar,Carcassonne,1
Estrategia de Guerra y Militar,CATAN,0.7
Estrategia de Guerra y Militar,Sea Dragons,1.7
Estrategia de Guerra y Militar,Cosmoctopus,1.6
Estrategia de Guerra y Militar,3 Ring Circus,1
Estrategia de Guerra y Militar,Pátzcuaro,0.7
Estrategia de Guerra y Militar,Weapon Wars,0.9
Estrategia de Guerra y Militar,One Deck Dungeon: Forest of Shadows,0.7
Estrategia de Guerra y Militar,Mazescape: Labýrinthos,0.7
Estrategia de Guerra y Militar,Impact: Battle of Elements,0.9
Estrategia de Guerra y Militar,The Oregon Trail Card Game,0.9
Estrategia de Guerra y Militar,Bump in the Night,0.7
Estrategia de Guerra y Militar,Risk: Godstorm,3.8
Estrategia de Guerra y Militar,Risk,2.8
Estrategia de Guerra y Militar,Nexus Ops,1.7
Estrategia de Guerra y Militar,Small World,2.5999999999999996
Estrategia de Guerra y Militar,7 Wonders,0.7
Estrategia de Guerra y Militar,A Game of Thrones: The Board Game (Second Edition),2.5
Estrategia de Guerra y Militar,Hannibal: Rome vs. Carthage,2
Estrategia de Guerra y Militar,Cyclades,1.9
Estrategia de Guerra y Militar,Tigris & Euphrates,1
Estrategia de Guerra y Militar,Torres,1.7
Estrategia de Guerra y Militar,Survive: Escape from Atlantis!,2.3
Estrategia de Guerra y Militar,Escape: Zombie City,0.7
Estrategia de Guerra y Militar,Gaia Project,2.0999999999999996
Estrategia de Guerra y Militar,King of Tokyo,0.9
Estrategia de Guerra y Militar,King of Tokyo: Dark Edition,0.9
Estrategia de Guerra y Militar,Snow Time,1
Estrategia de Guerra y Militar,Shoot Your Friends,0.9
Estrategia de Guerra y Militar,Gekido: Bot Battles,0.7
Estrategia de Guerra y Militar,Imhotep,1.7
Estrategia de Guerra y Militar,PitchCar,0.7
Estrategia de Guerra y Militar,Monopoly: Stranger Things,0.9
Estrategia de Guerra y Militar,Monopoly Gamer,0.7
Estrategia de Guerra y Militar,Zombie-opoly,1
Estrategia de Guerra y Militar,Coup,1.6
Estrategia de Guerra y Militar,BANG!,1.6
Estrategia de Guerra y Militar,BANG!: The Walking Dead,1.6
Estrategia de Guerra y Militar,Love Letter,0.9
Estrategia de Guerra y Militar,One Night Ultimate Alien,0.7
Estrategia de Guerra y Militar,BANG! The Dice Game,1.6
Estrategia de Guerra y Militar,Werewords,0.7
Estrategia de Guerra y Militar,One Night Ultimate Werewolf: Daybreak,0.7
Estrategia de Guerra y Militar,Exploding Kittens,0.9
Estrategia de Guerra y Militar,Trapwords,0.7
Estrategia de Guerra y Militar,The Game,0.9
Estrategia de Guerra y Militar,Betrayal at House on the Hill,2.3
Estrategia de Guerra y Militar,Castle Panic,1
Estrategia de Guerra y Militar,Magic Maze,1.4
Estrategia de Guerra y Militar,Dead of Winter: A Crossroads Game,3.0
Estrategia de Guerra y Militar,Mysterium,0.7
Estrategia de Guerra y Militar,Spirit Island,3.4000000000000004
Estrategia de Guerra y Militar,Pandemic,1.4
Estrategia de Guerra y Militar,Marvel Champions: The Card Game,1.4
Estrategia de Guerra y Militar,Dice Hospital,1.4
Estrategia de Guerra y Militar,Penguin Trap,0.9
Estrategia de Guerra y Militar,MAJESTY,0.9
Estrategia de Guerra y Militar,Broom Service,1.6
Estrategia de Guerra y Militar,Notre Dame,1
Estrategia de Guerra y Militar,Gentes,0.7
Estrategia de Guerra y Militar,New York 1901,1
Estrategia de Guerra y Militar,Fresco,1.5
Estrategia de Guerra y Militar,Luxor,0.7
Estrategia de Guerra y Militar,Ex Libris,0.7
Estrategia de Guerra y Militar,Bunny Kingdom,1
Estrategia de Guerra y Militar,Western Legends,3.0
Estrategia de Guerra y Militar,Milestones,0.7
Estrategia de Guerra y Militar,Magic: The Gathering – Heroes of Dominaria Board Game,0.7
Estrategia de Guerra y Militar,The Castles of Burgundy,0.7
Estrategia de Guerra y Militar,Ora et Labora,0.7
Estrategia de Guerra y Militar,Agricola,0.7
Estrategia de Guerra y Militar,Puerto Rico,0.7
Estrategia de Guerra y Militar,Newton,1.4
Estrategia de Guerra y Militar,Welcome to Centerville,1
Estrategia de Guerra y Militar,Cacao,1
Estrategia de Guerra y Militar,Roll for the Galaxy,0.7
Estrategia de Guerra y Militar,The World of Smog: On Her Majesty's Service,0.7
Estrategia de Guerra y Militar,Railways of the World,1.4
Estrategia de Guerra y Militar,Escape Plan,2.3
Estrategia de Guerra y Militar,Adrenaline,0.7
Estrategia de Guerra y Militar,Scotland Yard,1.7000000000000002
Estrategia de Guerra y Militar,Crazy Karts,2.2
Estrategia de Guerra y Militar,Downforce,1.6
Estrategia de Guerra y Militar,Jamaica,0.7
Estrategia de Guerra y Militar,K2,0.9
Estrategia de Guerra y Militar,Mariposas,0.7
Estrategia de Guerra y Militar,Bosk,1
Estrategia de Guerra y Militar,Azul: Stained Glass of Sintra,0.7
Estrategia de Guerra y Militar,Battle Sheep,0.7
Estrategia de Guerra y Militar,Dragoon,2.6
Estrategia de Guerra y Militar,Vast: The Crystal Caverns,3.6999999999999993
Estrategia de Guerra y Militar,Dragon Rampage,1.7
Estrategia de Guerra y Militar,Tsuro,0.9
Estrategia de Guerra y Militar,Clank!: A Deck-Building Adventure,1.6
Estrategia de Guerra y Militar,Clank!: Sunken Treasures,1.6
Estrategia de Guerra y Militar,Takenoko,1.4
Estrategia de Guerra y Militar,Ogre,0.7
Estrategia de Guerra y Militar,Secret Hitler,0.9
Estrategia de Guerra y Militar,Munchkin,0.7
Estrategia de Guerra y Militar,Abandon Planet,0.7
Estrategia de Guerra y Militar,Dodos Riding Dinos,0.7
Estrategia de Guerra y Militar,Robo Rally,1.5
Estrategia de Guerra y Militar,Netrunner,0.7
Estrategia de Guerra y Militar,Patria Libre,2.8
Estrategia de Guerra y Militar,Scythe,3.4
Estrategia de Guerra y Militar,Emerge,0.7
Estrategia de Guerra y Militar,Power Grid,0.7
Estrategia de Guerra y Militar,Root,4.1
Estrategia de Guerra y Militar,7 Summits,0.7
Estrategia de Guerra y Militar,Tierra y Libertad: The Mexican Revolution Game (Second Edition),1.7
Estrategia de Guerra y Militar,Kingdom Rush: Rift in Time,1.4
Estrategia de Guerra y Militar,Kiwi Chow Down,1
Estrategia de Guerra y Militar,Loteria,0.7
Estrategia de Guerra y Militar,Battleship,0.9
Estrategia de Guerra y Militar,Monopoly,0.9
Estrategia de Guerra y Militar,Fold-it,0.9
Estrategia de Guerra y Militar,7 Wonders Duel,2.0999999999999996
Estrategia de Guerra y Militar,Star Wars: The Mandalorian – La busqueda,0.9
Estrategia de Guerra y Militar,Tapple,0.9
Estrategia de Guerra y Militar,Good & Bad Ghosts,1.8
Estrategia de Guerra y Militar,Labyrinth,0.7
Estrategia de Guerra y Militar,Eight-Minute Empire,1.9
Estrategia de Guerra y Militar,Viva la Fotosíntesis,0.9
Estrategia de Guerra y Militar,Carcassonne: Expansion 4 – The Tower,1
Estrategia de Guerra y Militar,Carcassonne: Expansion 7 – The Catapult,1
Estrategia de Guerra y Militar,Carcassonne: Expansion 3 – The Princess & The Dragon,1
Estrategia de Guerra y Militar,Carcassonne: Expansion 2 – Traders & Builders,1
Estrategia de Guerra y Militar,The Settlers of Catan: The Fishermen of Catan,0.7
Estrategia de Guerra y Militar,Lucha Arena,0.9
Estrategia de Guerra y Militar,Viticulture,0.7
"Gestión de Recursos, Mercado y Economía",Photosynthesis,0.8
"Gestión de Recursos, Mercado y Economía",Yangtze,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",Baruka,0.7
"Gestión de Recursos, Mercado y Economía",Forbidden Jungle,1.5
"Gestión de Recursos, Mercado y Economía",Forbidden Desert,0.7
"Gestión de Recursos, Mercado y Economía",Bears vs Babies,0.8
"Gestión de Recursos, Mercado y Economía",Potion Explosion,1.5
"Gestión de Recursos, Mercado y Economía",Flamme Rouge,0.7
"Gestión de Recursos, Mercado y Economía",Turista Mundial,0.8
"Gestión de Recursos, Mercado y Economía",Fantastic Park,0.8
"Gestión de Recursos, Mercado y Economía",My Little Scythe,1.5
"Gestión de Recursos, Mercado y Economía",Gems of Iridescia,1.8
"Gestión de Recursos, Mercado y Economía",Kill The Unicorns,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",Zombicide: Black Plague,0.7
"Gestión de Recursos, Mercado y Economía",Dead Men Tell No Tales,0.7
"Gestión de Recursos, Mercado y Economía",How to Rob a Bank,0.7
"Gestión de Recursos, Mercado y Economía",Fast Food Fear!,0.8
"Gestión de Recursos, Mercado y Economía",Acquire,1.9
"Gestión de Recursos, Mercado y Economía",Vegas Showdown,2.5
"Gestión de Recursos, Mercado y Economía",Kanban: Driver's Edition,2
"Gestión de Recursos, Mercado y Economía",Stone Age,2.8
"Gestión de Recursos, Mercado y Economía",La Rata Ricarda,0.6
"Gestión de Recursos, Mercado y Economía",Regicide,0.7
"Gestión de Recursos, Mercado y Economía",Silk,1
"Gestión de Recursos, Mercado y Economía",Meeple Company,1
"Gestión de Recursos, Mercado y Economía",Calico,0.8
"Gestión de Recursos, Mercado y Economía",My Shelfie,0.8
"Gestión de Recursos, Mercado y Economía","Hey, That's My Fish!",1.4
"Gestión de Recursos, Mercado y Economía",Goatfish,0.8
"Gestión de Recursos, Mercado y Economía",Splendor Duel,1.8
"Gestión de Recursos, Mercado y Economía",12 Days,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",Pot de Vin,0.8
"Gestión de Recursos, Mercado y Economía",What's Up,0.8
"Gestión de Recursos, Mercado y Economía",Cooking Rumble,0.8
"Gestión de Recursos, Mercado y Economía",Cábula,0.8
"Gestión de Recursos, Mercado y Economía",White Elephant,0.8
"Gestión de Recursos, Mercado y Economía",Guerras Gato,0.7
"Gestión de Recursos, Mercado y Economía",Rat Attack Party,0.8
"Gestión de Recursos, Mercado y Economía",Merchants of Dunhuang,1.5
"Gestión de Recursos, Mercado y Economía",Valley of the Kings,1.5
"Gestión de Recursos, Mercado y Economía",Hero Realms,0.7
"Gestión de Recursos, Mercado y Economía",Star Realms,2.2
"Gestión de Recursos, Mercado y Economía",Rustling Leaves,0.8
"Gestión de Recursos, Mercado y Economía",Herbaceous,0.8
"Gestión de Recursos, Mercado y Economía",Cat Lady,0.8
"Gestión de Recursos, Mercado y Economía",Truffle Shuffle,0.8
"Gestión de Recursos, Mercado y Economía",Dwarven Smithy,2.8
"Gestión de Recursos, Mercado y Economía",Aqualin,0.8
"Gestión de Recursos, Mercado y Economía",Everdell,4.3
"Gestión de Recursos, Mercado y Economía",Wingspan,0.8
"Gestión de Recursos, Mercado y Economía",Everdell Farshore,1.8
"Gestión de Recursos, Mercado y Economía",Modern Art,3.5
"Gestión de Recursos, Mercado y Economía",Kanagawa,1.8
"Gestión de Recursos, Mercado y Economía",Cascadia,0.7
"Gestión de Recursos, Mercado y Economía",Tokaido,1.8
"Gestión de Recursos, Mercado y Economía",Struggle of Empires,0.9
"Gestión de Recursos, Mercado y Economía",Tzolk'in: The Mayan Calendar,1
"Gestión de Recursos, Mercado y Economía",Oaxaca: Crafts of a Culture,0.7
"Gestión de Recursos, Mercado y Economía",Terraforming Mars,4.0
"Gestión de Recursos, Mercado y Economía",Galaxies: The UFO Project,0.8
"Gestión de Recursos, Mercado y Economía",Dune: Imperium,1.7
"Gestión de Recursos, Mercado y Economía",Tides of Madness,0.8
"Gestión de Recursos, Mercado y Economía",Patchwork,0.8
"Gestión de Recursos, Mercado y Economía",Spirits of the Wild,0.8
"Gestión de Recursos, Mercado y Economía",Splendor,1.8
"Gestión de Recursos, Mercado y Economía",Century: A New World,3.5
"Gestión de Recursos, Mercado y Economía",Century: Eastern Wonders,2.5
"Gestión de Recursos, Mercado y Economía",Century: Golem Edition,2.5
"Gestión de Recursos, Mercado y Economía",CATAN,3.2
"Gestión de Recursos, Mercado y Economía",Sea Dragons,3.2
"Gestión de Recursos, Mercado y Economía",Cosmoctopus,1.4
"Gestión de Recursos, Mercado y Economía",Pátzcuaro,0.8
"Gestión de Recursos, Mercado y Economía",Point Salad,0.8
"Gestión de Recursos, Mercado y Economía",Virus!,0.8
"Gestión de Recursos, Mercado y Economía",Manda Huevos!,1
"Gestión de Recursos, Mercado y Economía",Risk Strike,0.8
"Gestión de Recursos, Mercado y Economía",One Deck Dungeon: Forest of Shadows,0.7
"Gestión de Recursos, Mercado y Economía",Cover Your Assets,0.8
"Gestión de Recursos, Mercado y Economía",Mazescape: Labýrinthos,0.7
"Gestión de Recursos, Mercado y Economía",Sheep Sheep Hurra!,0.8
"Gestión de Recursos, Mercado y Economía",Five Crowns,0.8
"Gestión de Recursos, Mercado y Economía",Coloretto,0.8
"Gestión de Recursos, Mercado y Economía",Bump in the Night,0.7
"Gestión de Recursos, Mercado y Economía",Synthesis,0.8
"Gestión de Recursos, Mercado y Economía",La tumba del rey Pakal,1.5
"Gestión de Recursos, Mercado y Economía",Lucca Città,0.8
"Gestión de Recursos, Mercado y Economía",Nosferatu,0.6
"Gestión de Recursos, Mercado y Economía",Palastgeflüster,0.8
"Gestión de Recursos, Mercado y Economía",Yummy Kitty,0.8
"Gestión de Recursos, Mercado y Economía",Risk,0.8
"Gestión de Recursos, Mercado y Economía",Nexus Ops,0.7
"Gestión de Recursos, Mercado y Economía",Small World,0.7
"Gestión de Recursos, Mercado y Economía",7 Wonders,0.8
"Gestión de Recursos, Mercado y Economía",A Game of Thrones: The Board Game (Second Edition),2.5
"Gestión de Recursos, Mercado y Economía",Cyclades,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",Tigris & Euphrates,1.6
"Gestión de Recursos, Mercado y Economía",Survive: Escape from Atlantis!,0.7
"Gestión de Recursos, Mercado y Economía",Gaia Project,2.9000000000000004
"Gestión de Recursos, Mercado y Economía",Bohnanza,1.8
"Gestión de Recursos, Mercado y Economía",Imhotep,2.5
"Gestión de Recursos, Mercado y Economía",Dominion: Intrigue,1.4
"Gestión de Recursos, Mercado y Economía",Rummy,0.8
"Gestión de Recursos, Mercado y Economía",PitchCar,0.7
"Gestión de Recursos, Mercado y Economía",Monopoly: Stranger Things,2.7
"Gestión de Recursos, Mercado y Economía",Monopoly Gamer,0.8
"Gestión de Recursos, Mercado y Economía",Coup,0.6
"Gestión de Recursos, Mercado y Economía",Saboteur,0.6
"Gestión de Recursos, Mercado y Economía",BANG!,0.6
"Gestión de Recursos, Mercado y Economía",Tortuga,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",One Night Ultimate Alien,0.6
"Gestión de Recursos, Mercado y Economía",BANG! The Dice Game,0.6
"Gestión de Recursos, Mercado y Economía",The Resistance,0.6
"Gestión de Recursos, Mercado y Economía",Werewords,0.6
"Gestión de Recursos, Mercado y Economía",One Night Ultimate Werewolf: Daybreak,0.6
"Gestión de Recursos, Mercado y Economía",Chinatown,3.5
"Gestión de Recursos, Mercado y Economía",North Wind,1
"Gestión de Recursos, Mercado y Economía",Sheriff of Nottingham,0.8
"Gestión de Recursos, Mercado y Economía",Sheriff of Nottingham: Merry Men,1.8
"Gestión de Recursos, Mercado y Economía",Sheriff of Nottingham: 2nd Edition,0.8
"Gestión de Recursos, Mercado y Economía",Folclore,1
"Gestión de Recursos, Mercado y Economía",Exploding Kittens,0.8
"Gestión de Recursos, Mercado y Economía",Shit Happens,0.8
"Gestión de Recursos, Mercado y Economía",Throw Throw Burrito,0.8
"Gestión de Recursos, Mercado y Economía",You've Got Crabs,0.8
"Gestión de Recursos, Mercado y Economía",Trapwords,0.7
"Gestión de Recursos, Mercado y Economía",Betrayal at House on the Hill,0.7
"Gestión de Recursos, Mercado y Economía",Castle Panic,1
"Gestión de Recursos, Mercado y Economía",Magic Maze,0.7
"Gestión de Recursos, Mercado y Economía",Dead of Winter: A Crossroads Game,1
"Gestión de Recursos, Mercado y Economía",Spirit Island,1.4
"Gestión de Recursos, Mercado y Economía",Pandemic,0.8
"Gestión de Recursos, Mercado y Economía",Marvel Champions: The Card Game,0.7
"Gestión de Recursos, Mercado y Economía",The Heroes of Kaskaria,0.8
"Gestión de Recursos, Mercado y Economía",Dice Hospital,0.7
"Gestión de Recursos, Mercado y Economía",Bugs in the Kitchen,0.7
"Gestión de Recursos, Mercado y Economía",Hadara,0.8
"Gestión de Recursos, Mercado y Economía",Broom Service,0.8
"Gestión de Recursos, Mercado y Economía",Gentes,0.8
"Gestión de Recursos, Mercado y Economía",Manila,3.5999999999999996
"Gestión de Recursos, Mercado y Economía",The Taverns of Tiefenthal,1.7
"Gestión de Recursos, Mercado y Economía",Ticket to Ride,1.8
"Gestión de Recursos, Mercado y Economía",Fresco,2.8
"Gestión de Recursos, Mercado y Economía",Luxor,1.5
"Gestión de Recursos, Mercado y Economía",Ex Libris,1.8
"Gestión de Recursos, Mercado y Economía",Dominion,1.4
"Gestión de Recursos, Mercado y Economía",The Quacks of Quedlinburg,1.4
"Gestión de Recursos, Mercado y Economía",The Castles of Burgundy,1.5
"Gestión de Recursos, Mercado y Economía",Baseball Highlights: 2045,0.7
"Gestión de Recursos, Mercado y Economía",Ora et Labora,1.7
"Gestión de Recursos, Mercado y Economía",Agricola,1
"Gestión de Recursos, Mercado y Economía",Newton,2.9000000000000004
"Gestión de Recursos, Mercado y Economía",Cytosis: A Cell Biology Board Game,1.8
"Gestión de Recursos, Mercado y Economía",Welcome to Centerville,0.8
"Gestión de Recursos, Mercado y Economía",Roll for the Galaxy,1.7
"Gestión de Recursos, Mercado y Economía",Rajas of the Ganges,1
"Gestión de Recursos, Mercado y Economía",Lords of Waterdeep,3.4000000000000004
"Gestión de Recursos, Mercado y Economía",The World of Smog: On Her Majesty's Service,2.7
"Gestión de Recursos, Mercado y Economía",Elysium,1.5
"Gestión de Recursos, Mercado y Economía",Railways of the World,1.5
"Gestión de Recursos, Mercado y Economía",Escape Plan,0.7
"Gestión de Recursos, Mercado y Economía",Camel Up,0.7
"Gestión de Recursos, Mercado y Economía",Crazy Karts,1.5
"Gestión de Recursos, Mercado y Economía",Downforce,0.9
"Gestión de Recursos, Mercado y Economía",Hare & Tortoise,0.8
"Gestión de Recursos, Mercado y Economía",Cartographers,1.2999999999999998
"Gestión de Recursos, Mercado y Economía",Botswana,1
"Gestión de Recursos, Mercado y Economía",Animals on Board,0.8
"Gestión de Recursos, Mercado y Economía",Mariposas,0.8
"Gestión de Recursos, Mercado y Economía",Draftosaurus,0.8
"Gestión de Recursos, Mercado y Economía",Azul,0.8
"Gestión de Recursos, Mercado y Economía",Azul: Stained Glass of Sintra,1.5
"Gestión de Recursos, Mercado y Economía",Azul: Summer Pavilion,0.8
"Gestión de Recursos, Mercado y Economía",Battle Sheep,0.7
"Gestión de Recursos, Mercado y Economía",Ubongo,0.8
"Gestión de Recursos, Mercado y Economía",Vast: The Crystal Caverns,0.7
"Gestión de Recursos, Mercado y Economía",Clank!: A Deck-Building Adventure,1.4
"Gestión de Recursos, Mercado y Economía",Clank!: Sunken Treasures,1.4
"Gestión de Recursos, Mercado y Economía",Sushi Go!,0.8
"Gestión de Recursos, Mercado y Economía",Sushi Go Party!,1.5
"Gestión de Recursos, Mercado y Economía",NMBR 9,0.6
"Gestión de Recursos, Mercado y Economía",Takenoko,2.5
"Gestión de Recursos, Mercado y Economía",Adventure Land,0.9
"Gestión de Recursos, Mercado y Economía",Greedy Greedy Goblins,1
"Gestión de Recursos, Mercado y Economía",Ogre,0.7
"Gestión de Recursos, Mercado y Economía",Secret Hitler,0.6
"Gestión de Recursos, Mercado y Economía",Abandon Planet,3.5
"Gestión de Recursos, Mercado y Economía",For Sale,1.7000000000000002
"Gestión de Recursos, Mercado y Economía",Robo Rally,0.7
"Gestión de Recursos, Mercado y Economía",Scythe,2.4
"Gestión de Recursos, Mercado y Economía",Shamans,0.6
"Gestión de Recursos, Mercado y Economía",Power Grid,3.4000000000000004
"Gestión de Recursos, Mercado y Economía",Root,0.7
"Gestión de Recursos, Mercado y Economía",Glow,0.8
"Gestión de Recursos, Mercado y Economía",Tierra y Libertad: The Mexican Revolution Game (Second Edition),1.8
"Gestión de Recursos, Mercado y Economía",Call to Adventure,1.5
"Gestión de Recursos, Mercado y Economía",Kingdom Rush: Rift in Time,0.7
"Gestión de Recursos, Mercado y Economía",Kiwi Chow Down,0.8
"Gestión de Recursos, Mercado y Economía",When I Dream,0.6
"Gestión de Recursos, Mercado y Economía",Sushi Roll,0.8
"Gestión de Recursos, Mercado y Economía",Loteria,1.2999999999999998
"Gestión de Recursos, Mercado y Economía",Monopoly,5.0
"Gestión de Recursos, Mercado y Economía",7 Wonders Duel,4.7
"Gestión de Recursos, Mercado y Economía",Labyrinth,0.7
"Gestión de Recursos, Mercado y Economía",King of the Dice,1.8
"Gestión de Recursos, Mercado y Economía",Eight-Minute Empire,1.6
"Gestión de Recursos, Mercado y Economía",Card Game,0.7
"Gestión de Recursos, Mercado y Economía",Carcassonne: Expansion 2 – Traders & Builders,0.8
"Gestión de Recursos, Mercado y Economía",Monopoly Bid,0.8
"Gestión de Recursos, Mercado y Economía",No Thanks!,0.8
"Gestión de Recursos, Mercado y Economía",The Settlers of Catan: The Fishermen of Catan,1.7
"Gestión de Recursos, Mercado y Economía",Happy Halloween,0.8
"Gestión de Recursos, Mercado y Economía",Pit,2.8
"Gestión de Recursos, Mercado y Economía",ZÈRTZ,0.8
"Gestión de Recursos, Mercado y Economía",LYNGK,0.7
"Gestión de Recursos, Mercado y Economía",Adidoku: Mona Lisa,0.8
"Gestión de Recursos, Mercado y Economía",Jaipur,1.8
"Gestión de Recursos, Mercado y Economía",Viticulture,2.8
"Gestión de Recursos, Mercado y Economía",Gerónimooo!!!,0.6
Optimización y Simulación,Photosynthesis,0.9
Optimización y Simulación,Kingdomino,1
Optimización y Simulación,Baruka,1.7
Optimización y Simulación,Forbidden Jungle,3.5
Optimización y Simulación,Forbidden Desert,4.2
Optimización y Simulación,Chronicles of Crime,0.8
Optimización y Simulación,Bears vs Babies,0.9
Optimización y Simulación,Potion Explosion,0.7
Optimización y Simulación,Flamme Rouge,2.6
Optimización y Simulación,Sequence,0.8
Optimización y Simulación,Fantastic Park,1
Optimización y Simulación,My Little Scythe,2.5
Optimización y Simulación,Pana Po'o,0.7
Optimización y Simulación,Zombicide: Black Plague,1.6
Optimización y Simulación,Flash Point: Fire Rescue,3.4000000000000004
Optimización y Simulación,Dead Men Tell No Tales,3.2
Optimización y Simulación,How to Rob a Bank,0.8
Optimización y Simulación,Acquire,1.8
Optimización y Simulación,Vegas Showdown,1.7
Optimización y Simulación,Kanban: Driver's Edition,0.9
Optimización y Simulación,FUSE,0.8
Optimización y Simulación,La Rata Ricarda,1
Optimización y Simulación,Regicide,0.7
Optimización y Simulación,The Crew: The Quest for Planet Nine,0.8
Optimización y Simulación,Calico,1.8
Optimización y Simulación,My Shelfie,0.8
Optimización y Simulación,"Hey, That's My Fish!",2.3
Optimización y Simulación,Oceania,1
Optimización y Simulación,Battlestar Galactica: Starship Battles – Starter Set,1.8
Optimización y Simulación,Tiny Epic Galaxies BLAST OFF!,0.8
Optimización y Simulación,AntaYagí,0.8
Optimización y Simulación,Merchants of Dunhuang,0.8
Optimización y Simulación,Star Realms,0.7
Optimización y Simulación,Sky Team,0.8
Optimización y Simulación,Legend of the Five Rings: The Card Game,0.9
Optimización y Simulación,Aqualin,1.8
Optimización y Simulación,Santorini,0.8
Optimización y Simulación,Everdell,0.7
Optimización y Simulación,Modern Art,0.8
Optimización y Simulación,Kanagawa,0.8
Optimización y Simulación,Cascadia,3.3
Optimización y Simulación,Planet,1
Optimización y Simulación,Tokaido,1.5
Optimización y Simulación,Holi: Festival of Colors,0.8
Optimización y Simulación,Ishtar: Gardens of Babylon,1
Optimización y Simulación,Terraforming Mars,3.5
Optimización y Simulación,Space Gate Odyssey,1.7
Optimización y Simulación,Galaxies: The UFO Project,1.8
Optimización y Simulación,Patchwork,2.5
Optimización y Simulación,Othello,1
Optimización y Simulación,Century: A New World,0.7
Optimización y Simulación,Century: Eastern Wonders,2.3
Optimización y Simulación,Carcassonne,1.8
Optimización y Simulación,CATAN,2.2
Optimización y Simulación,Abducktion,0.8
Optimización y Simulación,Sea Dragons,2.3
Optimización y Simulación,Cosmoctopus,1.5
Optimización y Simulación,El Switcher,0.8
Optimización y Simulación,Savernake Forest,1.8
Optimización y Simulación,Candy Lab,0.8
Optimización y Simulación,Regroup! Chicken Army,0.8
Optimización y Simulación,Castle Party,0.8
Optimización y Simulación,Mazescape: Labýrinthos,0.8
Optimización y Simulación,The Oregon Trail Card Game,1
Optimización y Simulación,Bump in the Night,0.8
Optimización y Simulación,Lapsus,0.7
Optimización y Simulación,Blood Bowl,0.8
Optimización y Simulación,Nexus Ops,0.8
Optimización y Simulación,Small World,1.5
Optimización y Simulación,Hannibal: Rome vs. Carthage,1
